saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
1M - 10M,12,pagado,negocios,1037,1M - 10M,4 - 7 años,3,hombre soltero,ninguno,4,bienes raíces,39,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,15,crítico,muebles,1478,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,44,ninguno,propia,2,empleado calificado,2,sí,sí,0
1M - 10M,12,crítico,radio/televisión,3573,< 1M,1 - 4 años,1,mujer,ninguno,1,bienes raíces,23,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,24,pagado,coche (nuevo),1201,< 1M,0 - 1 año,4,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,30,pagado,muebles,3622,> 100M,> 7 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,57,ninguno,alquilada,2,empleado calificado,1,sí,sí,0
desconocido,15,retrasado,muebles,960,> 100M,4 - 7 años,3,mujer,ninguno,2,sociedad de ahorros y préstamos,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,crítico,coche (nuevo),1163,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,44,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,6,retrasado,coche (nuevo),1209,< 1M,desempleado,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,47,ninguno,propia,1,autónomo gerente,1,sí,sí,1
desconocido,12,pagado,radio/televisión,3077,< 1M,1 - 4 años,2,hombre soltero,ninguno,4,otro,52,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,24,pagado,coche (nuevo),3757,< 1M,> 7 años,4,mujer,co-solicitante,4,desconocido/nada,62,ninguno,gratuita,1,empleado calificado,1,sí,sí,0
desconocido,10,pagado,coche (nuevo),1418,1M - 10M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,35,ninguno,alquilada,1,residente no calificado,1,ninguno,no,0
desconocido,6,pagado,coche (nuevo),3518,< 1M,1 - 4 años,2,hombre soltero,aval,3,sociedad de ahorros y préstamos,26,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,12,crítico,radio/televisión,1934,< 1M,> 7 años,2,hombre soltero,ninguno,2,desconocido/nada,26,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,27,totalmente pagado,negocios,8318,< 1M,> 7 años,2,mujer,ninguno,4,desconocido/nada,42,ninguno,gratuita,2,autónomo gerente,1,sí,sí,1
desconocido,6,crítico,radio/televisión,1237,1M - 10M,1 - 4 años,1,mujer,ninguno,1,sociedad de ahorros y préstamos,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,6,pagado,radio/televisión,368,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,38,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,12,crítico,coche (nuevo),2122,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,39,ninguno,alquilada,2,residente no calificado,2,ninguno,no,0
< 1M,24,pagado,muebles,2996,desconocido,1 - 4 años,2,hombre casado,ninguno,4,otro,20,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,36,pagado,muebles,9034,1M - 10M,0 - 1 año,4,hombre soltero,co-solicitante,1,desconocido/nada,29,ninguno,alquilada,1,autónomo gerente,1,sí,sí,1
desconocido,24,crítico,muebles,1585,< 1M,4 - 7 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,40,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,18,pagado,radio/televisión,1301,< 1M,> 7 años,4,hombre casado,aval,2,bienes raíces,32,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
> 10M,6,crítico,coche (nuevo),1323,1M - 10M,> 7 años,2,hombre divorciado,ninguno,4,otro,28,ninguno,propia,2,empleado calificado,2,sí,sí,0
< 1M,24,pagado,coche (nuevo),3123,< 1M,0 - 1 año,4,mujer,ninguno,1,sociedad de ahorros y préstamos,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,36,pagado,coche (usado),5493,< 1M,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,42,ninguno,gratuita,1,empleado calificado,2,ninguno,sí,0
> 10M,9,pagado,radio/televisión,1126,1M - 10M,> 7 años,2,hombre divorciado,ninguno,4,bienes raíces,49,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,24,crítico,radio/televisión,1216,1M - 10M,0 - 1 año,4,hombre soltero,ninguno,4,desconocido/nada,38,banco,propia,2,empleado calificado,2,ninguno,sí,1
< 1M,24,pagado,coche (nuevo),1207,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,24,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,10,pagado,coche (nuevo),1309,desconocido,1 - 4 años,4,hombre soltero,aval,4,sociedad de ahorros y préstamos,27,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
> 10M,15,crítico,coche (usado),2360,10M - 100M,1 - 4 años,2,hombre soltero,ninguno,2,otro,36,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,15,totalmente pagado en este banco,coche (nuevo),6850,1M - 10M,desempleado,1,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,34,ninguno,propia,1,autónomo gerente,2,sí,sí,1
desconocido,24,pagado,radio/televisión,1413,< 1M,1 - 4 años,4,hombre casado,ninguno,2,sociedad de ahorros y préstamos,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,39,pagado,coche (usado),8588,1M - 10M,> 7 años,4,hombre soltero,ninguno,2,otro,45,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,12,pagado,coche (nuevo),759,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,bienes raíces,26,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,36,pagado,coche (usado),4686,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,desconocido/nada,32,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
> 10M,15,pagado,negocios,2687,< 1M,4 - 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,26,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
1M - 10M,12,retrasado,radio/televisión,585,< 1M,1 - 4 años,4,hombre casado,co-solicitante,4,bienes raíces,20,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,coche (nuevo),2255,desconocido,0 - 1 año,4,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,54,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,6,crítico,coche (nuevo),609,< 1M,4 - 7 años,4,mujer,ninguno,3,sociedad de ahorros y préstamos,37,ninguno,propia,2,empleado calificado,1,ninguno,no,0
< 1M,6,crítico,coche (nuevo),1361,< 1M,0 - 1 año,2,hombre soltero,ninguno,4,bienes raíces,40,ninguno,propia,1,residente no calificado,2,ninguno,no,0
desconocido,36,crítico,muebles,7127,< 1M,0 - 1 año,2,mujer,ninguno,4,sociedad de ahorros y préstamos,23,ninguno,alquilada,2,empleado calificado,1,sí,sí,1
< 1M,6,pagado,coche (nuevo),1203,1M - 10M,> 7 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,43,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,6,crítico,radio/televisión,700,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,36,ninguno,gratuita,2,empleado calificado,1,ninguno,sí,0
desconocido,24,crítico,reparaciones,5507,< 1M,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,44,ninguno,gratuita,2,empleado calificado,1,ninguno,sí,0
< 1M,18,pagado,radio/televisión,3190,< 1M,1 - 4 años,2,mujer,ninguno,2,bienes raíces,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,48,totalmente pagado,muebles,7119,< 1M,1 - 4 años,3,hombre soltero,ninguno,4,desconocido/nada,53,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,1
desconocido,24,pagado,coche (usado),3488,1M - 10M,4 - 7 años,3,mujer,ninguno,4,otro,23,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,18,pagado,radio/televisión,1113,< 1M,1 - 4 años,4,mujer,aval,4,bienes raíces,26,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
1M - 10M,26,pagado,coche (usado),7966,< 1M,0 - 1 año,2,hombre soltero,ninguno,3,otro,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,15,crítico,educación,1532,1M - 10M,1 - 4 años,4,mujer,ninguno,3,otro,31,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,4,crítico,radio/televisión,1503,< 1M,4 - 7 años,2,hombre soltero,ninguno,1,bienes raíces,42,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
< 1M,36,pagado,radio/televisión,2302,< 1M,1 - 4 años,4,hombre divorciado,ninguno,4,otro,31,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,6,pagado,coche (nuevo),662,< 1M,0 - 1 año,3,hombre soltero,ninguno,4,bienes raíces,41,ninguno,propia,1,residente no calificado,2,sí,sí,0
1M - 10M,36,pagado,educación,2273,< 1M,4 - 7 años,3,hombre soltero,ninguno,1,otro,32,ninguno,propia,2,empleado calificado,2,ninguno,sí,0
1M - 10M,15,pagado,coche (nuevo),2631,1M - 10M,1 - 4 años,2,mujer,ninguno,4,otro,28,ninguno,alquilada,2,empleado calificado,1,sí,sí,1
desconocido,12,retrasado,coche (usado),1503,< 1M,1 - 4 años,4,hombre casado,ninguno,4,bienes raíces,41,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,radio/televisión,1311,1M - 10M,4 - 7 años,4,hombre casado,ninguno,3,sociedad de ahorros y préstamos,26,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,24,pagado,radio/televisión,3105,desconocido,0 - 1 año,4,hombre soltero,ninguno,2,otro,25,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
> 10M,21,crítico,educación,2319,< 1M,0 - 1 año,2,hombre divorciado,ninguno,1,otro,33,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,6,pagado,coche (nuevo),1374,desconocido,desempleado,4,mujer,ninguno,3,sociedad de ahorros y préstamos,75,ninguno,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,18,crítico,muebles,3612,< 1M,> 7 años,3,mujer,ninguno,4,sociedad de ahorros y préstamos,37,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,48,pagado,coche (nuevo),7763,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,42,banco,gratuita,1,autónomo gerente,1,ninguno,sí,1
> 10M,18,pagado,muebles,3049,< 1M,0 - 1 año,1,mujer,ninguno,1,sociedad de ahorros y préstamos,45,tiendas,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,1534,< 1M,0 - 1 año,1,hombre casado,ninguno,1,bienes raíces,23,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,24,retrasado,coche (nuevo),2032,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,60,ninguno,gratuita,2,empleado calificado,1,sí,sí,0
< 1M,30,pagado,muebles,6350,desconocido,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,31,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
> 10M,18,pagado,muebles,2864,< 1M,1 - 4 años,2,hombre soltero,ninguno,1,bienes raíces,34,ninguno,propia,1,residente no calificado,2,ninguno,sí,1
desconocido,12,crítico,coche (nuevo),1255,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,61,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
< 1M,24,retrasado,coche (nuevo),1333,< 1M,desempleado,4,hombre soltero,ninguno,2,bienes raíces,43,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,1
desconocido,24,crítico,coche (nuevo),2022,< 1M,1 - 4 años,4,mujer,ninguno,4,otro,37,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,24,pagado,radio/televisión,1552,< 1M,4 - 7 años,3,hombre soltero,ninguno,1,otro,32,banco,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,12,totalmente pagado en este banco,radio/televisión,626,< 1M,1 - 4 años,4,mujer,ninguno,4,bienes raíces,24,banco,propia,1,residente no calificado,1,ninguno,sí,1
desconocido,48,crítico,coche (usado),8858,desconocido,4 - 7 años,2,hombre soltero,ninguno,1,desconocido/nada,35,ninguno,gratuita,2,empleado calificado,1,sí,sí,0
desconocido,12,crítico,reparaciones,996,desconocido,4 - 7 años,4,mujer,ninguno,4,bienes raíces,23,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,6,totalmente pagado en este banco,radio/televisión,1750,10M - 100M,> 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,45,banco,propia,1,residente no calificado,2,ninguno,sí,0
< 1M,48,pagado,radio/televisión,6999,< 1M,4 - 7 años,1,hombre casado,aval,1,bienes raíces,34,ninguno,propia,2,empleado calificado,1,sí,sí,1
1M - 10M,12,crítico,coche (nuevo),1995,1M - 10M,0 - 1 año,4,hombre soltero,ninguno,1,otro,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,9,pagado,educación,1199,< 1M,4 - 7 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,67,ninguno,propia,2,autónomo gerente,1,sí,sí,0
1M - 10M,12,pagado,radio/televisión,1331,< 1M,0 - 1 año,2,hombre soltero,ninguno,1,otro,22,tiendas,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,18,totalmente pagado,coche (nuevo),2278,1M - 10M,0 - 1 año,3,mujer,ninguno,3,otro,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,21,totalmente pagado,coche (nuevo),5003,desconocido,1 - 4 años,1,mujer,ninguno,4,sociedad de ahorros y préstamos,29,banco,propia,2,empleado calificado,1,sí,sí,1
< 1M,24,totalmente pagado en este banco,muebles,3552,< 1M,4 - 7 años,3,hombre soltero,ninguno,4,otro,27,banco,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,18,crítico,muebles,1928,< 1M,0 - 1 año,2,hombre soltero,ninguno,2,bienes raíces,31,ninguno,propia,2,residente no calificado,1,ninguno,sí,1
< 1M,24,pagado,coche (usado),2964,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,49,banco,gratuita,1,empleado calificado,2,sí,sí,0
< 1M,24,totalmente pagado en este banco,radio/televisión,1546,< 1M,4 - 7 años,4,hombre soltero,aval,4,otro,24,banco,alquilada,1,residente no calificado,1,ninguno,sí,1
> 10M,6,retrasado,radio/televisión,683,< 1M,0 - 1 año,2,mujer,ninguno,1,sociedad de ahorros y préstamos,29,banco,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,36,pagado,coche (nuevo),12389,desconocido,1 - 4 años,1,hombre soltero,ninguno,4,desconocido/nada,37,ninguno,gratuita,1,empleado calificado,1,sí,sí,1
1M - 10M,24,retrasado,negocios,4712,desconocido,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,37,banco,propia,2,autónomo gerente,1,sí,sí,0
1M - 10M,24,retrasado,radio/televisión,1553,1M - 10M,4 - 7 años,3,mujer,ninguno,2,sociedad de ahorros y préstamos,23,ninguno,alquilada,2,empleado calificado,1,sí,sí,0
< 1M,12,pagado,coche (nuevo),1372,< 1M,4 - 7 años,2,hombre divorciado,ninguno,3,otro,36,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,24,crítico,radio/televisión,2578,> 100M,> 7 años,2,hombre soltero,ninguno,2,otro,34,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,48,pagado,radio/televisión,3979,desconocido,4 - 7 años,4,hombre soltero,ninguno,1,otro,41,ninguno,propia,2,empleado calificado,2,sí,sí,0
< 1M,48,pagado,radio/televisión,6758,< 1M,1 - 4 años,3,mujer,ninguno,2,otro,31,ninguno,propia,1,empleado calificado,1,sí,sí,1
< 1M,24,pagado,muebles,3234,< 1M,0 - 1 año,4,mujer,ninguno,4,bienes raíces,23,ninguno,alquilada,1,residente no calificado,1,sí,sí,1
desconocido,30,crítico,radio/televisión,5954,< 1M,4 - 7 años,3,hombre soltero,co-solicitante,2,otro,38,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,coche (usado),5433,desconocido,desempleado,2,mujer,ninguno,4,sociedad de ahorros y préstamos,26,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
< 1M,15,pagado,negocios,806,< 1M,1 - 4 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,22,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,9,pagado,radio/televisión,1082,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,27,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,15,crítico,muebles,2788,< 1M,4 - 7 años,2,mujer,co-solicitante,3,otro,24,banco,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,radio/televisión,2930,< 1M,4 - 7 años,2,mujer,ninguno,1,bienes raíces,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,24,crítico,educación,1927,desconocido,1 - 4 años,3,mujer,ninguno,2,otro,33,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,36,crítico,coche (nuevo),2820,< 1M,0 - 1 año,4,hombre divorciado,ninguno,4,otro,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,24,pagado,reentrenamiento,937,< 1M,0 - 1 año,4,hombre casado,ninguno,3,otro,27,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,18,crítico,coche (nuevo),1056,< 1M,> 7 años,3,hombre soltero,aval,3,bienes raíces,30,banco,propia,2,empleado calificado,1,ninguno,sí,1
1M - 10M,12,crítico,coche (nuevo),3124,< 1M,0 - 1 año,1,hombre soltero,ninguno,3,bienes raíces,49,banco,propia,2,residente no calificado,2,ninguno,sí,0
desconocido,9,pagado,muebles,1388,< 1M,1 - 4 años,4,mujer,ninguno,2,bienes raíces,26,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,36,pagado,reparaciones,2384,< 1M,0 - 1 año,4,hombre soltero,ninguno,1,desconocido/nada,33,ninguno,alquilada,1,residente no calificado,1,ninguno,sí,1
desconocido,12,pagado,coche (nuevo),2133,desconocido,> 7 años,4,mujer,ninguno,4,desconocido/nada,52,ninguno,gratuita,1,autónomo gerente,1,sí,sí,0
< 1M,18,pagado,muebles,2039,< 1M,1 - 4 años,1,mujer,ninguno,4,bienes raíces,20,banco,alquilada,1,empleado calificado,1,ninguno,sí,1
< 1M,9,crítico,coche (nuevo),2799,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,36,ninguno,alquilada,2,empleado calificado,2,ninguno,sí,0
< 1M,12,pagado,muebles,1289,< 1M,1 - 4 años,4,hombre soltero,aval,1,sociedad de ahorros y préstamos,21,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,18,pagado,electrodomésticos domésticos,1217,< 1M,1 - 4 años,4,hombre casado,ninguno,3,bienes raíces,47,ninguno,propia,1,residente no calificado,1,sí,sí,1
< 1M,12,crítico,muebles,2246,< 1M,> 7 años,3,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,60,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
< 1M,12,crítico,radio/televisión,385,< 1M,4 - 7 años,4,mujer,ninguno,3,bienes raíces,58,ninguno,propia,4,residente no calificado,1,sí,sí,0
1M - 10M,24,retrasado,coche (nuevo),1965,desconocido,1 - 4 años,4,mujer,ninguno,4,otro,42,ninguno,alquilada,2,empleado calificado,1,sí,sí,0
desconocido,21,pagado,negocios,1572,> 100M,> 7 años,4,mujer,ninguno,4,bienes raíces,36,banco,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,24,pagado,coche (nuevo),2718,< 1M,1 - 4 años,3,mujer,ninguno,4,sociedad de ahorros y préstamos,20,ninguno,alquilada,1,residente no calificado,1,sí,sí,1
< 1M,24,totalmente pagado en este banco,otros,1358,desconocido,> 7 años,4,hombre soltero,ninguno,3,otro,40,tiendas,propia,1,autónomo gerente,1,sí,sí,1
1M - 10M,6,totalmente pagado en este banco,coche (nuevo),931,1M - 10M,0 - 1 año,1,mujer,ninguno,1,sociedad de ahorros y préstamos,32,tiendas,propia,1,residente no calificado,1,ninguno,sí,1
< 1M,24,pagado,coche (nuevo),1442,< 1M,4 - 7 años,4,mujer,ninguno,4,otro,23,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
1M - 10M,24,totalmente pagado,negocios,4241,< 1M,1 - 4 años,1,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,3,residente no calificado,1,sí,sí,1
desconocido,18,crítico,coche (nuevo),2775,< 1M,4 - 7 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,31,banco,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,24,retrasado,negocios,3863,< 1M,1 - 4 años,1,hombre soltero,ninguno,2,desconocido/nada,32,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
1M - 10M,7,pagado,radio/televisión,2329,< 1M,0 - 1 año,1,mujer,aval,1,bienes raíces,45,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,9,pagado,muebles,918,< 1M,1 - 4 años,4,mujer,ninguno,1,sociedad de ahorros y préstamos,30,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,24,totalmente pagado en este banco,educación,1837,< 1M,4 - 7 años,4,mujer,ninguno,4,desconocido/nada,34,banco,gratuita,1,residente no calificado,1,ninguno,sí,1
desconocido,36,pagado,muebles,3349,< 1M,1 - 4 años,4,mujer,ninguno,2,otro,28,ninguno,propia,1,autónomo gerente,1,sí,sí,1
> 10M,10,pagado,muebles,1275,< 1M,0 - 1 año,4,mujer,ninguno,2,sociedad de ahorros y préstamos,23,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,totalmente pagado en este banco,muebles,2828,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,22,tiendas,propia,1,empleado calificado,1,sí,sí,0
desconocido,24,crítico,negocios,4526,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,74,ninguno,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,36,pagado,radio/televisión,2671,1M - 10M,1 - 4 años,4,mujer,co-solicitante,4,desconocido/nada,50,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,1
desconocido,18,pagado,radio/televisión,2051,< 1M,0 - 1 año,4,hombre soltero,ninguno,1,bienes raíces,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,15,pagado,coche (usado),1300,desconocido,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,45,banco,gratuita,1,empleado calificado,2,ninguno,sí,0
< 1M,12,pagado,electrodomésticos domésticos,741,1M - 10M,desempleado,4,mujer,ninguno,3,sociedad de ahorros y préstamos,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
> 10M,10,pagado,coche (nuevo),1240,1M - 10M,> 7 años,1,mujer,ninguno,4,desconocido/nada,48,ninguno,gratuita,1,residente no calificado,2,ninguno,sí,1
< 1M,21,pagado,radio/televisión,3357,> 100M,0 - 1 año,4,mujer,ninguno,2,otro,29,banco,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,24,totalmente pagado en este banco,coche (usado),3632,< 1M,1 - 4 años,1,mujer,aval,4,otro,22,banco,alquilada,1,empleado calificado,1,ninguno,no,0
desconocido,18,retrasado,muebles,1808,< 1M,4 - 7 años,4,mujer,ninguno,1,bienes raíces,22,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,48,totalmente pagado,negocios,12204,desconocido,1 - 4 años,2,hombre soltero,ninguno,2,otro,48,banco,propia,1,autónomo gerente,1,sí,sí,0
1M - 10M,60,retrasado,radio/televisión,9157,desconocido,1 - 4 años,2,hombre soltero,ninguno,2,desconocido/nada,27,ninguno,gratuita,1,autónomo gerente,1,ninguno,sí,0
< 1M,6,crítico,coche (nuevo),3676,< 1M,1 - 4 años,1,hombre soltero,ninguno,3,bienes raíces,37,ninguno,alquilada,3,empleado calificado,2,ninguno,sí,0
1M - 10M,30,pagado,muebles,3441,1M - 10M,1 - 4 años,2,mujer,co-solicitante,4,otro,21,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
desconocido,12,pagado,coche (nuevo),640,< 1M,1 - 4 años,4,hombre divorciado,ninguno,2,bienes raíces,49,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
1M - 10M,21,crítico,negocios,3652,< 1M,4 - 7 años,2,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,crítico,coche (nuevo),1530,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,32,banco,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,48,pagado,negocios,3914,desconocido,1 - 4 años,4,hombre divorciado,ninguno,2,bienes raíces,38,banco,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,12,pagado,muebles,1858,< 1M,0 - 1 año,4,mujer,ninguno,1,otro,22,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,18,pagado,radio/televisión,2600,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,65,ninguno,gratuita,2,empleado calificado,1,ninguno,sí,1
desconocido,15,pagado,radio/televisión,1979,desconocido,> 7 años,4,hombre soltero,ninguno,2,otro,35,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
> 10M,6,pagado,muebles,2116,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,41,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,9,totalmente pagado en este banco,coche (nuevo),1437,1M - 10M,4 - 7 años,2,hombre soltero,ninguno,3,desconocido/nada,29,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,42,crítico,muebles,4042,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,9,pagado,educación,3832,desconocido,> 7 años,1,hombre soltero,ninguno,4,bienes raíces,64,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,24,pagado,radio/televisión,3660,< 1M,1 - 4 años,2,mujer,ninguno,4,otro,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,18,totalmente pagado en este banco,muebles,1553,< 1M,1 - 4 años,4,hombre soltero,ninguno,3,otro,44,banco,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,15,pagado,radio/televisión,1444,desconocido,0 - 1 año,4,hombre soltero,ninguno,1,sociedad de ahorros y préstamos,23,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,9,pagado,muebles,1980,< 1M,0 - 1 año,2,mujer,co-solicitante,2,otro,19,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
1M - 10M,24,pagado,coche (nuevo),1355,< 1M,0 - 1 año,3,mujer,ninguno,4,otro,25,ninguno,propia,1,residente no calificado,1,sí,sí,1
